lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]
980	0.00082814	0.0025973	0.00001274	0.000494849	0.000220347	1
981	0.000810282	0.002587319	0.00001274	0.000491855	0.000222236	1
982	0.00079295	0.0025789	0.00001274	0.000488401	0.000223876	1
983	0.000775146	0.002569331	0.00001274	0.000484901	0.000225408	1
984	0.00075774	0.0025605	0.00001274	0.000481056	0.000226983	1
985	0.000739857	0.00254861	0.00001365	0.000476865	0.000228724	1
986	0.00072254	0.0025384	0.00001365	0.000472583	0.000230929	1
987	0.000704999	0.00252752	0.00001456	0.000467931	0.000233303	1
988	0.00068734	0.0025126	0.00001456	0.000463073	0.000235728	1
989	0.000668605	0.002487717	0.00001547	0.000458099	0.00023806	1
990	0.00065141	0.0024656	0.00001547	0.000453034	0.000240163	1
991	0.000636462	0.002452691	0.00001638	0.000447876	0.000241602	1
992	0.00062341	0.0024469	0.00001729	0.000442488	0.000242807	1
993	0.000609893	0.002437527	0.0000182	0.000437146	0.000243921	1
994	0.00059667	0.0024276	0.00001911	0.00043132	0.000245117	1
995	0.000583539	0.002416849	0.00002002	0.000425702	0.000246577	1
996	0.00057113	0.0024077	0.00002093	0.000420038	0.000248508	1
997	0.000558622	0.002396846	0.00002184	0.00041412	0.000250968	1
998	0.00054672	0.0023872	0.00002275	0.000408363	0.000254015	1
999	0.000534775	0.002376067	0.00002366	0.000402584	0.000257648	1
1000	0.00052341	0.0023661	0.00002457	0.000396666	0.000261816	1
1001	0.000511993	0.002354609	0.00002548	0.000390818	0.000266271	1
1002	0.00050113	0.0023443	0.00002639	0.000384601	0.000271098	1
1003	0.000490226	0.002332566	0.0000273	0.000378591	0.000276203	1
1004	0.00047985	0.002322	0.00002821	0.000372397	0.00028147	1
1005	0.000469423	0.002309933	0.00003003	0.000366272	0.00028677	1
1006	0.0004595	0.002299	0.00003094	0.000360493	0.00029199	1
1007	0.000449537	0.002286639	0.00003276	0.00035446	0.000296992	1
1008	0.00044006	0.0022754	0.00003367	0.000348151	0.000301677	1
1009	0.00043054	0.002262689	0.00003549	0.000342233	0.000305983	1
1010	0.00042148	0.0022511	0.00003731	0.000336223	0.000309888	1
1011	0.000412374	0.002238131	0.00003822	0.00032973	0.000313027	1
1012	0.00040371	0.0022263	0.00004004	0.000323743	0.000315997	1
1013	0.000395009	0.002213063	0.00004186	0.000317665	0.000319002	1
1014	0.00038673	0.0022009	0.00004277	0.000311701	0.0003222	1
1015	0.000378408	0.002187317	0.00004459	0.000305829	0.000325663	1
1016	0.00037049	0.0021748	0.0000455	0.000299797	0.00032979	1
1017	0.000362537	0.002160914	0.00004732	0.00029381	0.000333836	1
1018	0.00035497	0.0021481	0.00004823	0.000288053	0.000337432	1
1019	0.000347361	0.002133921	0.00004914	0.000282527	0.000340211	1
1020	0.00034012	0.0021208	0.00005005	0.000276725	0.000341883	1
1021	0.000332843	0.002106343	0.00005096	0.000271083	0.000341557	1
1022	0.00032592	0.0020929	0.00005096	0.000265396	0.000340244	1
1023	0.000318961	0.002078087	0.00005187	0.000260054	0.000338342	1
1024	0.00031234	0.0020643	0.00005187	0.000254643	0.000336306	1
1025	0.000305683	0.002049245	0.00005278	0.000249186	0.000334566	1
1026	0.00029935	0.0020352	0.00005369	0.000243683	0.000333907	1
1027	0.000292986	0.002019818	0.00005369	0.000238364	0.000333893	1
1028	0.00028693	0.0020054	0.0000546	0.000233022	0.0003344	1
1029	0.000280837	0.001989712	0.00005642	0.000228186	0.000335188	1
1030	0.00027504	0.001975	0.00005733	0.000223167	0.000335949	1
1031	0.000269213	0.001959021	0.00005824	0.000218557	0.000335987	1
1032	0.00026367	0.001944	0.00005915	0.000215218	0.000335527	1
1033	0.000258095	0.001927744	0.00006006	0.000209945	0.000334473	1
1034	0.00025279	0.0019124	0.00006097	0.000206157	0.00033279	1
1035	0.000247456	0.001895789	0.00006188	0.0002023	0.0003305	1
1036	0.00024238	0.0018801	0.00006279	0.000197016	0.0003276	1
1037	0.000237272	0.001863248	0.00006279	0.00019248	0.000324308	1
1038	0.00023241	0.0018473	0.0000637	0.000188773	0.000320778	1
1039	0.00022752	0.001830122	0.0000637	0.000184144	0.000317157	1
1040	0.00022287	0.0018138	0.0000637	0.000181289	0.000313561	1
1041	0.000218196	0.001796313	0.0000637	0.000177732	0.000310142	1
1042	0.00021375	0.0017797	0.0000637	0.000173979	0.000306817	1
1043	0.000209273	0.001761942	0.0000637	0.000170893	0.000303537	1
1044	0.00020501	0.001745	0.00006279	0.000167658	0.00030023	1
1045	0.00020072	0.001726887	0.00006279	0.000164584	0.000296816	1
1046	0.00019664	0.0017096	0.00006188	0.000161475	0.00029288	1
1047	0.000192535	0.001691247	0.00006097	0.000158482	0.000288874	1
1048	0.00018863	0.0016737	0.00006097	0.000155097	0.000284906	1
1049	0.000184699	0.001655021	0.00006006	0.00015299	0.000281078	1
1050	0.00018096	0.0016371	0.00005915	0.000149893	0.000277459	1
1051	0.000177198	0.001618117	0.00005824	0.000147614	0.000274304	1
1052	0.00017362	0.0015999	0.00005733	0.000146014	0.000271267	1
1053	0.000170018	0.001580632	0.00005733	0.000143607	0.000268201	1
1054	0.00016659	0.0015621	0.00005642	0.000141708	0.000264957	1
1055	0.000163136	0.001542538	0.00005642	0.000140695	0.000261418	1
1056	0.00015985	0.0015237	0.00005278	0.000139175	0.000257065	1
1057	0.000156543	0.001503864	0.00005005	0.000137782	0.00025254	1
1058	0.0001534	0.0014847	0.00004914	0.000135272	0.000248067	1
1059	0.000150238	0.001464511	0.00004732	0.000134409	0.000243873	1
1060	0.00014723	0.001445	0.00004641	0.000133683	0.000242285	1
1061	0.000144197	0.001424572	0.0000455	0.00013191	0.000238982	1
1062	0.00014131	0.0014048	0.00004459	0.000131692	0.000235725	1
1063	0.000138405	0.001384049	0.00004459	0.000130137	0.000232511	1
1064	0.00013564	0.0013639	0.00004368	0.000129435	0.000229342	1
1065	0.000132852	0.001342841	0.00004277	0.000129147	0.000226216	1
1066	0.0001302	0.0013224	0.00004186	0.000128986	0.000223133	1
1067	0.000127534	0.001301072	0.00004095	0.000128537	0.000220091	1
1068	0.000125	0.0012803	0.00004004	0.000128491	0.000217091	1
1069	0.000122444	0.001258619	0.00004004	0.000128307	0.000214132	1
1070	0.00012001	0.0012375	0.00003913	0.000128053	0.000211213	1
1071	0.00011756	0.001215581	0.00003822	0.000128019	0.000208334	1
1072	0.00011523	0.0011942	0.00003822	0.000127881	0.000205494	1
1073	0.000112883	0.001171958	0.00003731	0.00012879	0.000202693	1
1074	0.00011065	0.0011502	0.0000364	0.000129389	0.000199931	1
1075	0.0001084	0.001127656	0.00003549	0.000129562	0.000197205	1
1076	0.00010626	0.0011056	0.00003549	0.000130379	0.000194517	1
1077	0.000104103	0.00108277	0.00003458	0.000131381	0.000191866	1
1078	0.00010205	0.0010604	0.00003367	0.000131968	0.000189251	1
1079	1.00E-04	0.001037293	0.00003276	0.0001332	0.000186671	1
1080	9.80E-05	0.0010146	0.00003276	0.000133499	0.000184126	1
1081	9.60E-05	0.000991157	0.00003185	0.000135652	0.000181617	1
1082	9.41E-05	0.00096811	0.00003094	0.000137011	0.000179141	1
1083	9.22E-05	0.000944387	0.00003003	0.000137759	0.000176699	1
1084	9.04E-05	0.00092105	0.00002912	0.000139762	0.000174291	1
1085	8.86E-05	0.000897037	0.00002912	0.000141236	0.000171915	1
1086	8.69E-05	0.00087337	0.00002821	0.000143308	0.000169572	1
1087	8.51E-05	0.000849065	0.0000273	0.000145668	0.00016726	1
1088	8.35E-05	0.00082508	0.00002639	0.000147453	0.00016498	1
1089	8.18E-05	0.000800475	0.00002548	0.000149755	0.000162732	1
1090	8.02E-05	0.00077616	0.00002548	0.00015268	0.000160513	1
1091	7.86E-05	0.000751261	0.00002457	0.000154706	0.000158326	1
1092	7.71E-05	0.00072663	0.00002366	0.00015816	0.000156167	1
1093	7.55E-05	0.000701443	0.00002275	0.000160785	0.000154039	1
1094	7.40E-05	0.00067649	0.00002184	0.000162799	0.000151939	1
1095	7.26E-05	0.000650997	0.00002184	0.000165966	0.000149868	1
1096	7.12E-05	0.00062572	0.00002093	0.000169132	0.000147825	1
1097	6.97E-05	0.000599947	0.00002002	0.00017148	0.00014581	1
1098	6.84E-05	0.00057434	0.00002002	0.000174784	0.000143823	1
1099	6.70E-05	0.000548237	0.00001911	0.000176304	0.000141862	1
1100	6.57E-05	0.00052234	0.00001911	0.000177594	0.000139929	1
