lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]
686	0.0050386	0.00062815	2.42E-06	4.44E-06	0.000269843	1
687	0.004951608	0.000629193	2.46E-06	4.61E-06	0.000267089	1
688	0.00487	0.00063183	2.50E-06	4.70E-06	0.000264513	1
689	0.004791834	0.000633661	2.54E-06	4.88E-06	0.000262325	1
690	0.0047248	0.00063551	2.56E-06	4.72E-06	0.000260673	1
691	0.004662591	0.000637178	2.56E-06	5.07E-06	0.00025987	1
692	0.0046063	0.0006392	2.54E-06	5.18E-06	0.000259518	1
693	0.004546302	0.000640698	2.49E-06	5.16E-06	0.000259394	1
694	0.0044878	0.00064288	2.41E-06	5.25E-06	0.000259229	1
695	0.004427118	0.000645457	2.32E-06	5.48E-06	0.000258755	1
696	0.0043693	0.00064933	2.22E-06	5.80E-06	0.000257355	1
697	0.004308809	0.00065359	2.11E-06	5.92E-06	0.000255437	1
698	0.0042508	0.00065854	2.02E-06	5.99E-06	0.000253083	1
699	0.004190321	0.000662998	1.95E-06	6.40E-06	0.000250433	1
700	0.0041315	0.00066775	1.92E-06	6.56E-06	0.000247658	1
701	0.004069216	0.000672181	1.93E-06	6.45E-06	0.000244989	1
702	0.0040088	0.00067696	1.96E-06	6.52E-06	0.000242488	1
703	0.003946317	0.000681265	2.02E-06	6.82E-06	0.000240237	1
704	0.0038862	0.00068617	2.08E-06	6.93E-06	0.000238269	1
705	0.00382382	0.000691189	2.13E-06	7.02E-06	0.000236566	1
706	0.0037635	0.00069722	2.15E-06	7.25E-06	0.000235023	1
707	0.003701811	0.000703364	2.17E-06	7.78E-06	0.00023361	1
708	0.0036462	0.00071012	2.17E-06	7.92E-06	0.000232235	1
709	0.003594254	0.000716379	2.17E-06	7.99E-06	0.000230803	1
710	0.0035471	0.00072301	2.18E-06	8.40E-06	0.00022924	1
711	0.003496945	0.000729294	2.21E-06	8.93E-06	0.000227237	1
712	0.0034479	0.00073591	2.25E-06	9.10E-06	0.000225146	1
713	0.003397244	0.000741985	2.26E-06	9.56E-06	0.00022308	1
714	0.0033488	0.0007488	2.26E-06	1.00E-05	0.000221149	1
715	0.003298333	0.000755951	2.23E-06	1.05E-05	0.000219439	1
716	0.0032497	0.00076446	2.14E-06	1.09E-05	0.00021814	1
717	0.003199216	0.000773291	2.05E-06	1.14E-05	0.000217048	1
718	0.0031506	0.00078288	1.98E-06	1.20E-05	0.000216065	1
719	0.003100477	0.000791912	1.95E-06	1.27E-05	0.00021507	1
720	0.003053	0.0008013	1.99E-06	1.29E-05	0.000213949	1
721	0.003005127	0.000810279	2.14E-06	1.36E-05	0.000212355	1
722	0.0029592	0.00081972	2.35E-06	1.43E-05	0.000210596	1
723	0.002910953	0.000828642	2.61E-06	1.50E-05	0.00020876	1
724	0.0028654	0.00083814	2.90E-06	1.53E-05	0.000206958	1
725	0.002818873	0.000847414	3.19E-06	1.63E-05	0.000205306	1
726	0.0027716	0.00085748	3.43E-06	1.70E-05	0.000203891	1
727	0.002717159	0.000867316	3.64E-06	1.80E-05	0.000202807	1
728	0.0026544	0.00087775	3.81E-06	1.89E-05	0.000202094	1
729	0.002584962	0.00088761	3.94E-06	1.98E-05	0.000201742	1
730	0.0025379	0.00089801	4.04E-06	2.10E-05	0.000201694	1
731	0.002527552	0.000907982	4.13E-06	2.23E-05	0.000201853	1
732	0.0025379	0.00091827	4.20E-06	2.36E-05	0.000202088	1
733	0.002539966	0.000927815	4.26E-06	2.50E-05	0.000202259	1
734	0.0025379	0.00093853	4.31E-06	2.62E-05	0.000202233	1
735	0.002536668	0.000950227	4.36E-06	2.72E-05	0.000201908	1
736	0.0025369	0.00096432	4.41E-06	2.81E-05	0.000200977	1
737	0.002533399	0.000979376	4.48E-06	2.88E-05	0.000199773	1
738	0.0025339	0.00099564	4.59E-06	2.93E-05	0.00019842	1
739	0.002541565	0.001011129	4.76E-06	2.97E-05	0.000197053	1
740	0.0025694	0.001027	4.98E-06	3.03E-05	0.000195796	1
741	0.00261714	0.001042357	5.26E-06	3.02E-05	0.000194861	1
742	0.0026748	0.0010583	5.60E-06	3.03E-05	0.000194126	1
743	0.002726163	0.001073542	5.97E-06	3.04E-05	0.000193544	1
744	0.0027801	0.0010896	6.36E-06	3.05E-05	0.000193037	1
745	0.002841908	0.001105526	6.76E-06	3.02E-05	0.00019251	1
746	0.0029152	0.0011227	7.14E-06	3.02E-05	0.000191675	1
747	0.002993472	0.001139764	7.51E-06	3.01E-05	0.000190734	1
748	0.0030699	0.0011577	7.86E-06	3.00E-05	0.000189708	1
749	0.003139036	0.001174929	8.18E-06	3.02E-05	0.000188636	1
750	0.0032357	0.0011927	8.49E-06	2.98E-05	0.000187561	1
751	0.003370315	0.001209777	8.78E-06	3.01E-05	0.000186507	1
752	0.0034892	0.0012277	9.06E-06	3.01E-05	0.00018554	1
753	0.00353756	0.001245052	9.35E-06	3.01E-05	0.00018469	1
754	0.00355	0.0012627	9.63E-06	3.00E-05	0.000183966	1
755	0.003569792	0.00127866	9.92E-06	2.99E-05	0.000183357	1
756	0.0035931	0.0012941	1.02E-05	2.97E-05	0.000182773	1
757	0.003597325	0.001307755	1.05E-05	2.98E-05	0.000182245	1
758	0.0035931	0.0013217	1.07E-05	2.97E-05	0.000181733	1
759	0.003584581	0.001335039	1.08E-05	2.94E-05	0.000181187	1
760	0.0035656	0.0013493	1.08E-05	2.94E-05	0.000180556	1
761	0.003525169	0.001362762	1.06E-05	2.94E-05	0.000179747	1
762	0.0034733	0.0013769	1.03E-05	2.90E-05	0.000178791	1
763	0.003416331	0.001390258	9.94E-06	2.88E-05	0.000177687	1
764	0.0033608	0.0014046	9.46E-06	2.88E-05	0.000176455	1
765	0.003303321	0.001418587	8.91E-06	2.87E-05	0.000175128	1
766	0.0032478	0.001434	8.35E-06	2.88E-05	0.000173594	1
767	0.0031905	0.001449173	7.77E-06	2.85E-05	0.000172136	1
768	0.0031346	0.0014654	7.18E-06	2.83E-05	0.000170867	1
769	0.003076825	0.001480705	6.60E-06	2.80E-05	0.000169871	1
770	0.0030207	0.0014967	6.05E-06	2.80E-05	0.000169189	1
771	0.002962937	0.001511835	5.50E-06	2.78E-05	0.000168942	1
772	0.0029069	0.001528	4.99E-06	2.77E-05	0.000168889	1
773	0.002849043	0.001543432	4.54E-06	2.73E-05	0.000168886	1
774	0.002793	0.0015593	4.14E-06	2.72E-05	0.000168779	1
775	0.00273575	0.001573265	3.80E-06	2.74E-05	0.000168434	1
776	0.0026792	0.0015869	3.54E-06	2.69E-05	0.000167469	1
777	0.002620361	0.001598666	3.32E-06	2.66E-05	0.000166253	1
778	0.0025669	0.0016109	3.12E-06	2.65E-05	0.000164907	1
779	0.002519097	0.001622338	2.93E-06	2.65E-05	0.000163573	1
780	0.0024763	0.0016348	2.74E-06	2.63E-05	0.000162393	1
