<<<<<<< HEAD
lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]		
600.0000000000000000	0.0337959999999621	0.0073682999999906	0.0000060851700000	0.0000020262748818	0.0004808469438272	1.0000000000000000		
601.0000000000000000	0.0323363377806035	0.0065889912925234	0.0000058846437224	0.0000022795592421	0.0004775349925585	1.0000000000000000		
602.0000000000000000	0.0313669999999659	0.0061340999999904	0.0000057025639607	0.0000024407401986	0.0004742513025536	1.0000000000000000		
603.0000000000000000	0.0302184527933439	0.0055368112446171	0.0000055545638141	0.0000024177143476	0.0004709955863093	1.0000000000000000		
604.0000000000000000	0.0289379999999735	0.0048998999999939	0.0000054509127739	0.0000024177143476	0.0004677675597174	1.0000000000000000		
605.0000000000000000	0.0276889252189755	0.0044202358329707	0.0000053947530000	0.0000024867919004	0.0004645669420188	1.0000000000000000		
606.0000000000000000	0.0265099999999758	0.0041197999999946	0.0000054044191110	0.0000024867919004	0.0004613934557583	1.0000000000000000		
607.0000000000000000	0.0253173721411702	0.0039292111308449	0.0000054369670548	0.0000024867919004	0.0004582468267409	1.0000000000000000		
608.0000000000000000	0.0241259999999772	0.0037936999999957	0.0000054683875278	0.0000025788953042	0.0004551267839878	1.0000000000000000		
609.0000000000000000	0.0228897215181415	0.0036379081315657	0.0000054751247984	0.0000025328436023	0.0004520330596936	1.0000000000000000		
610.0000000000000000	0.0217449999999793	0.0034676999999968	0.0000054384330000	0.0000026940245588	0.0004489653891840	1.0000000000000000		
611.0000000000000000	0.0207422837150532	0.0033019085686035	0.0000053076332600	0.0000027861279625	0.0004459235108741	1.0000000000000000		
612.0000000000000000	0.0197819999999794	0.0031415999999970	0.0000051374737724	0.0000028091538135	0.0004429071662276	1.0000000000000000		
613.0000000000000000	0.0187487039566109	0.0029738893968907	0.0000049501720301	0.0000029012572172	0.0004399160997158	1.0000000000000000		
614.0000000000000000	0.0178729999999819	0.0028155999999972	0.0000047715789727	0.0000026940245588	0.0004369500587787	1.0000000000000000		
615.0000000000000000	0.0173049790438700	0.0026738417247102	0.0000046264400000	0.0000029473089190	0.0004340087937846	1.0000000000000000		
616.0000000000000000	0.0169119999999828	0.0025558999999974	0.0000045666790442	0.0000028091538135	0.0004310920579925	1.0000000000000000		
617.0000000000000000	0.0164560757642755	0.0024546576762019	0.0000045581833399	0.0000031084898755	0.0004281996075135	1.0000000000000000		
618.0000000000000000	0.0159499999999850	0.0023624999999977	0.0000045915114752	0.0000030624381737	0.0004253312012731	1.0000000000000000		
619.0000000000000000	0.0154409024751736	0.0022661024315843	0.0000046511658794	0.0000030163864718	0.0004224866009750	1.0000000000000000		
620.0000000000000000	0.0149889999999858	0.0021689999999980	0.0000047186230000	0.0000029012572172	0.0004196655710636	1.0000000000000000		
621.0000000000000000	0.0145944563075433	0.0020720278785987	0.0000047555262503	0.0000029703347700	0.0004202269163805	1.0000000000000000		
622.0000000000000000	0.0142599999999864	0.0019755999999981	0.0000047746069732	0.0000029473089190	0.0004177497938825	1.0000000000000000		
623.0000000000000000	0.0139282054499420	0.0018760149856442	0.0000047723794914	0.0000031084898755	0.0004152025992323	1.0000000000000000		
624.0000000000000000	0.0136009999999873	0.0017821999999982	0.0000047496643296	0.0000029242830681	0.0004126496908717	1.0000000000000000		
625.0000000000000000	0.0132631942653578	0.0016984598752877	0.0000047110700000	0.0000030624381737	0.0004101734693874	1.0000000000000000		
626.0000000000000000	0.0129409999999879	0.0016292999999984	0.0000046585102317	0.0000029012572172	0.0004077254578705	1.0000000000000000		
627.0000000000000000	0.0126318588201168	0.0015702879220866	0.0000046078705040	0.0000028782313662	0.0004055575803267	1.0000000000000000		
628.0000000000000000	0.0123579999999884	0.0015168999999985	0.0000045692176179	0.0000028552055153	0.0004037538796523	1.0000000000000000		
629.0000000000000000	0.0120987093179022	0.0014608733696670	0.0000045500876305	0.0000031545415774	0.0004023454213583	1.0000000000000000		
630.0000000000000000	0.0118559999999889	0.0014045999999987	0.0000045539130000	0.0000030394123228	0.0004013010204078	1.0000000000000000		
631.0000000000000000	0.0116041195548822	0.0013484276369627	0.0000046007164613	0.0000031084898755	0.0004005045547077	1.0000000000000000		
632.0000000000000000	0.0113539999999892	0.0012921999999988	0.0000046549557838	0.0000027170504097	0.0003998459785243	1.0000000000000000		
